name,name_de
"Group A: University degree (academic - diploma, bachelor's, master's and similar)","Gruppe A: Hochschulabschluss (Akademiker - Diplom, Bachelor, Master und ähnliches)"
"Group B: Technicians, master craftsmen, business administrators, completed vocational training","Gruppe B: Techniker, Meister, Fachwirt, abgeschlossene Berufsausbildung"
"Group C: Other (apprentices, working students, and people without a degree)","Gruppe C: Sonstiges (Azubis, Werkstudenten, und Personen ohne Abschluss)"
