id,name,name_en,name_de
4586,Fermanagh and Omagh,Fermanagh and Omagh,
4587,Fermanagh District Council,Fermanagh District Council,
4588,Fife,Fife,
4589,Flintshire,Flintshire,
4590,Gateshead,Gateshead,
4591,Glasgow,Glasgow,
4592,Gloucestershire,Gloucestershire,
4593,Gwynedd,Gwynedd,
4594,Halton,Halton,
4595,Hampshire,Hampshire,
4596,Hartlepool,Hartlepool,
4597,Herefordshire,Herefordshire,
4598,Hertfordshire,Hertfordshire,
4599,Highland,Highland,
4600,Inverclyde,Inverclyde,
4601,Isle of Wight,Isle of Wight,
4602,Isles of Scilly,Isles of Scilly,
4603,Kent,Kent,
4604,Kirklees,Kirklees,
4605,Knowsley,Knowsley,
4606,Lancashire,Lancashire,
4607,Larne Borough Council,Larne Borough Council,
4608,Leeds,Leeds,
4609,Leicestershire,Leicestershire,
4610,Limavady Borough Council,Limavady Borough Council,
4611,Lincolnshire,Lincolnshire,
4612,Lisburn and Castlereagh,Lisburn and Castlereagh,
4613,Lisburn City Council,Lisburn City Council,
4614,Liverpool,Liverpool,
4615,London Borough of Barking and Dagenham,London Borough of Barking and Dagenham,
4616,London Borough of Barnet,London Borough of Barnet,
4617,London Borough of Bexley,London Borough of Bexley,
4618,London Borough of Brent,London Borough of Brent,
4619,London Borough of Bromley,London Borough of Bromley,
4620,London Borough of Camden,London Borough of Camden,
4621,London Borough of Croydon,London Borough of Croydon,
4622,London Borough of Ealing,London Borough of Ealing,
4623,London Borough of Enfield,London Borough of Enfield,
4624,London Borough of Hackney,London Borough of Hackney,
4625,London Borough of Hammersmith and Fulham,London Borough of Hammersmith and Fulham,
4626,London Borough of Haringey,London Borough of Haringey,
4627,London Borough of Harrow,London Borough of Harrow,
4628,London Borough of Havering,London Borough of Havering,
4629,London Borough of Hillingdon,London Borough of Hillingdon,
4630,London Borough of Hounslow,London Borough of Hounslow,
4631,London Borough of Islington,London Borough of Islington,
4632,London Borough of Lambeth,London Borough of Lambeth,
4633,London Borough of Lewisham,London Borough of Lewisham,
4634,London Borough of Merton,London Borough of Merton,
4635,London Borough of Newham,London Borough of Newham,
4636,London Borough of Redbridge,London Borough of Redbridge,
4637,London Borough of Richmond upon Thames,London Borough of Richmond upon Thames,
4638,London Borough of Southwark,London Borough of Southwark,
4639,London Borough of Sutton,London Borough of Sutton,
4640,London Borough of Tower Hamlets,London Borough of Tower Hamlets,
4641,London Borough of Waltham Forest,London Borough of Waltham Forest,
4642,London Borough of Wandsworth,London Borough of Wandsworth,
4643,Magherafelt District Council,Magherafelt District Council,
4644,Manchester,Manchester,
4645,Medway,Medway,
4646,Merthyr Tydfil County Borough,Merthyr Tydfil County Borough,
4647,Metropolitan Borough of Wigan,Metropolitan Borough of Wigan,
4648,Mid and East Antrim,Mid and East Antrim,
4649,Mid Ulster,Mid Ulster,
4650,Middlesbrough,Middlesbrough,
4651,Midlothian,Midlothian,
4652,Milton Keynes,Milton Keynes,
4653,Monmouthshire,Monmouthshire,
4654,Moray,Moray,
4655,Moyle District Council,Moyle District Council,
4656,Neath Port Talbot County Borough,Neath Port Talbot County Borough,
4657,Newcastle upon Tyne,Newcastle upon Tyne,
4658,Newport,Newport,
4659,Newry and Mourne District Council,Newry and Mourne District Council,
4660,Newry, Mourne and Down,Newry, Mourne and Down,
4661,Newtownabbey Borough Council,Newtownabbey Borough Council,
4662,Norfolk,Norfolk,
4663,North Ayrshire,North Ayrshire,
4664,North Down Borough Council,North Down Borough Council,
4665,North East Lincolnshire,North East Lincolnshire,
4666,North Lanarkshire,North Lanarkshire,
4667,North Lincolnshire,North Lincolnshire,
4668,North Somerset,North Somerset,
4669,North Tyneside,North Tyneside,
4670,North Yorkshire,North Yorkshire,
4671,Northamptonshire,Northamptonshire,
4672,Northern Ireland,Northern Ireland,
4673,Northumberland,Northumberland,
4674,Nottinghamshire,Nottinghamshire,
4675,Oldham,Oldham,
4676,Omagh District Council,Omagh District Council,
4677,Orkney Islands,Orkney Islands,
